info_id,info_style,info_availability,info_abv,info_notes 
47,German Hefeweizen                                                                                   , Summer                                                                                             ,4.1,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
48,American Amber / Red Ale                                                                            , Limited (brewed once)                                                                              ,6.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
49,Scottish Ale                                                                                        , Year-round                                                                                         ,5.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
50,German Bock                                                                                         , Winter                                                                                             ,7.25,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
51,Pumpkin Beer                                                                                        , Limited (brewed once)                                                                              ,8.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
52,American Pale Ale (APA)                                                                             , Limited (brewed once)                                                                              ,6.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
53,German Maibock                                                                                      , Limited (brewed once)                                                                              ,7.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
54,American Porter                                                                                     , Limited (brewed once)                                                                              ,6.2,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
55,American Black Ale                                                                                  , Limited (brewed once)                                                                              ,7.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
56,American IPA                                                                                        , Year-round                                                                                         ,6.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
57,Belgian Witbier                                                                                     , Year-round                                                                                         ,6.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
58,American IPA                                                                                        , Year-round                                                                                         ,6.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
59,Rye Beer                                                                                            , Rotating                                                                                           ,6.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
60,German Dunkelweizen                                                                                 , Rotating                                                                                           ,6.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
61,Belgian Dark Ale                                                                                    , Winter                                                                                             ,6.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
62,American Lager                                                                                      , Rotating                                                                                           ,5.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
63,American Imperial IPA                                                                               , Rotating                                                                                           ,8.1,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
64,American IPA                                                                                        , Fall                                                                                               ,7.8,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
65,Smoke Beer                                                                                          , Rotating                                                                                           ,6.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
66,American Imperial Stout                                                                             , Rotating                                                                                           ,12.9,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
67,American Imperial Stout                                                                             , Limited (brewed once)                                                                              ,8.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
68,American Imperial IPA                                                                               , Rotating                                                                                           ,2.2,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
69,American IPA                                                                                        , Rotating                                                                                           ,6.8,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
70,American IPA                                                                                        , Limited (brewed once)                                                                              ,1.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
71,Russian Imperial Stout                                                                              , Rotating                                                                                           ,10.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
72,Fruit and Field Beer                                                                                , Summer                                                                                             ,5.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
73,American Imperial IPA                                                                               , Limited (brewed once)                                                                              ,8.8,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
74,American IPA                                                                                        , Limited (brewed once)                                                                              ,7.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
75,Vienna Lager                                                                                        , Rotating                                                                                           ,5.6,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
76,American IPA                                                                                        , Limited (brewed once)                                                                              ,5.8,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
77,English Extra Special / Strong Bitter (ESB)                                                         , Limited (brewed once)                                                                              ,2.3,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
78,English Sweet / Milk Stout                                                                          , Rotating                                                                                           ,8.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
79,American Pale Ale (APA)                                                                             , Year-round                                                                                         ,4.2,Otway is our take on an American Pale Ale – lower in alcohol but still big in flavour. A refreshing hop bite finishes with a touch of biscuit.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
80,English Extra Special / Strong Bitter (ESB)                                                         , Rotating                                                                                           ,7.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
81,Fruit and Field Beer                                                                                , Year-round                                                                                         ,5.5,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
82,Scotch Ale / Wee Heavy                                                                              , Limited (brewed once)                                                                              ,9.0,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
83,American IPA                                                                                        , Rotating                                                                                           ,6.7,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
84,American Pale Ale (APA)                                                                             , Rotating                                                                                           ,3.8,No notes at this time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
